quarter,districtoccur,psa,race,gender,age_range,n_stopped,n_searched,n_arrested,n_contraband,n_frisked,n_intruded,quarter_dt,quarter_str,q_str,year
2014-10-01,09,1,latino,Female,25-34,1,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,latino,Male,35-44,1,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,black,Male,25-34,33,1,1,0,0,1,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,other_race,Male,55-64,7,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,asian,Female,<25,1,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,white,Female,55-64,5,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,black,Male,65+,2,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,asian,Male,55-64,1,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,white,Male,55-64,20,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,white,Female,35-44,14,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,black,Male,<25,13,1,1,1,1,1,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,asian,Female,55-64,1,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,black,Male,45-54,15,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,white,Female,<25,10,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,black,Female,55-64,1,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,white,Female,65+,2,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,white,Male,65+,4,1,1,0,0,1,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,black,Female,<25,7,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,white,Male,<25,14,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,black,Male,35-44,19,0,0,1,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,asian,Male,<25,6,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,asian,Male,35-44,4,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,black,Male,55-64,10,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,other_race,Male,<25,1,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,asian,Female,35-44,2,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,white,Female,25-34,18,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,other_race,Male,35-44,6,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,black,Female,65+,1,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,black,Female,45-54,8,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2014-10-01,09,1,black,Female,35-44,7,0,0,0,0,0,2014-10-01,2014-Q4,Q4,2014
2015-01-01,09,1,asian,Female,45-54,2,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,asian,Male,35-44,5,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,latino,Male,35-44,1,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,white,Male,55-64,18,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,black,Male,65+,1,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,latino,Male,65+,1,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,other_race,Female,25-34,1,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,black,Female,35-44,9,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,asian,Female,55-64,1,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,black,Male,25-34,44,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,black,Female,45-54,7,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,black,Male,35-44,18,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,white,Female,35-44,8,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
