is_young,is_male,young_male,young_female,older_male,older_female,obscured_view,clock_minutes,dow,year,police_area,assigned_unit,is_summer,weight
1,1,1,0,0,0,1,1135,0,2022,39-2,39TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,1,1110,3,2022,39-2,39TH DISTRICT,0,0.12322033611178315
0,1,0,0,1,0,1,1131,4,2022,39-2,39TH DISTRICT,0,0.23416182287094633
0,0,0,0,0,1,1,1202,5,2022,22-2,22ND DISTRICT,0,0.2833520184190115
0,0,0,0,0,1,1,1035,0,2022,22-1,HIGHWAY PATROL,0,0.08029646286345592
1,0,0,1,0,0,0,1172,6,2022,19-2,19TH DISTRICT,1,0.08029646286345592
1,1,1,0,0,0,1,1180,0,2022,19-2,19TH DISTRICT,0,0.08029646286345592
0,0,0,0,0,1,1,1174,4,2022,39-2,39TH DISTRICT,0,0.2809137468140732
0,0,0,0,0,1,0,1032,0,2022,39-2,39TH DISTRICT,0,0.15707309280634157
0,1,0,0,1,0,0,1096,1,2022,39-2,39TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,0,1065,1,2022,39-1,39TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1209,5,2022,39-2,39TH DISTRICT,1,0.2004550097252892
1,1,1,0,0,0,1,1095,4,2022,22-3,HIGHWAY PATROL,0,0.08029646286345592
0,0,0,0,0,1,0,1052,0,2022,39-2,39TH DISTRICT,0,0.3299225426534501
0,1,0,0,1,0,0,1040,2,2022,39-1,39TH DISTRICT,0,0.3302888318387619
0,1,0,0,1,0,1,1180,0,2022,39-2,39TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1072,4,2022,39-2,39TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,0,1164,2,2022,12-2,12TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,0,1130,2,2022,12-2,12TH DISTRICT,0,0.2621174505177769
0,1,0,0,1,0,0,1088,0,2022,22-1,HIGHWAY PATROL,0,0.08029646286345592
1,1,1,0,0,0,1,1208,1,2022,22-1,22ND DISTRICT,0,0.3247334458615329
0,1,0,0,1,0,1,1191,4,2022,22-2,22ND DISTRICT,0,0.12830176522426895
0,0,0,0,0,1,1,1208,1,2022,22-1,22ND DISTRICT,0,0.31100633940666583
0,1,0,0,1,0,1,1213,3,2022,22-1,22ND DISTRICT,0,0.208382352816953
0,1,0,0,1,0,0,1100,0,2022,35-2,35TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,0,1070,3,2022,35-2,35TH DISTRICT,0,0.2960407930121083
1,1,1,0,0,0,1,1110,1,2022,35-2,35TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,0,1076,1,2022,35-2,35TH DISTRICT,0,0.18809584490521492
0,1,0,0,1,0,0,1035,6,2022,35-2,35TH DISTRICT,1,0.08029646286345592
1,1,1,0,0,0,1,1155,0,2022,35-2,HIGHWAY PATROL,0,0.3202964628634559
0,1,0,0,1,0,1,1140,3,2022,16-2,16TH DISTRICT,0,0.20045500972528918
0,1,0,0,1,0,0,1107,5,2022,16-2,16TH DISTRICT,0,0.30251868508567814
0,1,0,0,1,0,1,1125,3,2022,39-3,39TH DISTRICT,0,0.20045500972528918
1,0,0,1,0,0,1,1195,5,2022,39-3,39TH DISTRICT,0,0.24029646286345596
1,0,0,1,0,0,0,1050,4,2022,39-3,39TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,1,1130,0,2022,39-2,39TH DISTRICT,0,0.26985111626231434
0,1,0,0,1,0,1,1124,4,2022,12-3,12TH DISTRICT,0,0.08029646286345592
1,0,0,1,0,0,1,1125,5,2022,12-3,12TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1160,6,2022,12-3,12TH DISTRICT,0,0.14284132725595303
1,0,0,1,0,0,1,1114,2,2022,16-2,16TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,0,1166,0,2022,12-3,12TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,0,1129,0,2022,12-3,12TH DISTRICT,1,0.08029646286345592
1,1,1,0,0,0,0,1155,0,2022,12-4,12TH DISTRICT,1,0.08029646286345592
1,0,0,1,0,0,0,1135,6,2022,12-3,12TH DISTRICT,1,0.08029646286345592
